Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-336.51746	311.00754	-6.4312744	-659.1619	521.5	-0.03104449	0.15426885	0.42278427	-0.47804815	4000	-2.5761128e-07	64632.242	-0.016749967	-4107.3867	0.9189443	0.01611675	0.1725	5.0	4.204248905181885
1	-93.72079	160.95885	-4.6733	-703.11365	139.0	-9.514686	0.19919896	-7.739314	-9.691288	8000	-8.2850455e-08	32809.81	-0.013891951	-1247.5039	0.91743743	0.016199237	0.2085	8.0	8.170356750488281
2	-131.24129	191.94373	-2.2613301	-647.624	226.0	-14.596989	0.080936864	-13.565921	-14.653196	12000	-2.3126603e-08	34628.85	-0.014777786	-1433.7227	0.9155461	0.017197777	0.197	9.0	11.723682880401611
3	-116.30927	169.55846	6.757511	-582.0307	210.22223	-19.865505	0.06158008	-18.952526	-19.896093	16000	1.6093255e-08	29893.814	-0.013134661	-1090.8359	0.91333234	0.015793083	0.1735	9.0	15.703176021575928
4	-115.424805	163.13573	-6.6103215	-581.3131	208.57895	-24.54878	0.07184724	-23.693214	-24.58496	20000	-3.862381e-08	24642.6	-0.045885783	-887.4961	0.91096187	0.011388862	0.18875	79.0	20.398193836212158
5	-80.74732	129.29993	0.30456683	-516.1348	151.15384	-28.868319	0.039893072	-27.76277	-28.881952	24000	-4.2438508e-08	21121.27	-0.013409199	-704.8594	0.90118957	0.0151361395	0.199	8.0	24.393285751342773
6	-89.38421	141.33736	-5.951103	-532.76154	180.36363	-32.80404	0.03393069	-32.13601	-32.81883	28000	3.7312507e-08	19397.715	-0.04760361	-693.6426	0.9001334	0.007744123	0.21475	79.0	29.22971749305725
7	-87.13177	138.57082	4.087477	-494.22565	173.40909	-36.77724	0.025120946	-36.318222	-36.7867	32000	-1.013279e-08	17735.354	-0.045777008	-649.19336	0.8881225	0.015045199	0.196	58.0	33.98871970176697
8	-104.22632	143.63426	-0.9760464	-521.9043	207.875	-40.700123	0.027736126	-39.98769	-40.71172	36000	-1.2516975e-08	19573.344	-0.014408095	-864.00977	0.8783897	0.015769357	0.23825	8.0	37.983922243118286
9	-94.88952	117.77143	-1.4951612	-422.0454	206.47058	-45.249695	0.017873062	-44.83447	-45.255196	40000	-2.1100044e-08	17043.955	-0.014979929	-762.0293	0.8773023	0.016210692	0.207	8.0	41.78301286697388
10	-127.53902	176.87192	-8.826345	-498.4501	283.57144	-49.612526	0.01807041	-49.301437	-49.619125	44000	-3.194809e-08	22504.445	-0.014290847	-1049.248	0.8755056	0.01693978	0.27075	8.0	46.19500541687012
11	-152.10553	154.97464	-6.990481	-418.662	390.125	-54.69686	0.011614738	-54.458366	-54.701717	48000	-2.0802021e-08	15164.966	-0.014090033	-747.43945	0.87372726	0.016458057	0.19225	7.0	50.035911560058594
12	-65.38951	89.902084	0.9028033	-414.62177	146.14285	-59.098858	0.0134538775	-58.875565	-59.1025	52000	3.6001204e-08	12592.372	-0.053197704	-297.9619	0.8720891	0.013201721	0.21975	79.0	54.55018734931946
13	-67.367645	116.398636	4.493762	-462.9384	161.875	-61.986988	0.012228843	-61.745804	-61.9907	56000	-4.768372e-10	13406.119	-0.014271829	-300.99805	0.8636838	0.01750549	0.19425	7.0	58.63938307762146
14	-119.748985	162.51599	-0.16883247	-427.55505	307.69232	-64.85562	0.00916018	-64.6818	-64.85936	60000	-2.4437904e-08	16138.295	-0.013496038	-761.499	0.863502	0.016085701	0.25975	9.0	62.141998529434204
15	-64.097404	104.251884	21.746328	-397.24744	162.33333	-69.38846	0.011633969	-69.2062	-69.391426	64000	-2.861023e-09	10480.506	-0.0111699235	-190.5	0.86295223	0.015155644	0.194	8.0	65.9400281906128
16	-57.031754	96.605156	34.327896	-386.78787	151.88461	-71.87912	0.012591053	-71.64541	-71.88241	68000	2.7179718e-08	10228.841	-0.013953906	-129.00195	0.8620667	0.017400607	0.24675	8.0	70.85675144195557
17	-46.248543	85.393555	42.892025	-432.09424	113.77778	-73.87433	0.014090496	-73.61584	-73.877754	72000	-8.910894e-09	9919.473	-0.013255397	-100.68164	0.8613709	0.01667044	0.22225	8.0	75.15937662124634
18	-122.80763	147.71605	-12.641438	-408.86563	285.0	-75.677216	0.009528221	-75.49658	-75.68028	76000	-2.1457671e-09	15391.186	-0.014056523	-813.6543	0.86102146	0.015310144	0.234	10.0	79.21884751319885
19	-58.637333	113.05834	15.184566	-412.94955	145.54546	-80.629524	0.011681321	-80.382416	-80.63265	80000	2.0086766e-08	14551.955	-0.012837565	-541.4414	0.86007506	0.015553877	0.198	7.0	82.79656267166138
20	-62.881134	119.360176	13.995744	-452.2858	146.62962	-84.90337	0.0127140395	-84.60522	-84.90631	84000	-2.6226044e-09	12852.74	-0.014558815	-330.87207	0.8586811	0.0153799895	0.259	9.0	86.41840124130249
21	-54.98243	111.42734	34.460663	-461.18387	133.65517	-88.28423	0.015460772	-87.950806	-88.2869	88000	2.3424626e-08	13660.876	-0.0136129875	-198.69629	0.85673	0.015880194	0.2485	9.0	90.03873991966248
22	-99.59305	168.67819	19.842264	-474.2243	221.38889	-90.95026	0.014543733	-90.632065	-90.9532	92000	3.5762786e-09	18883.207	-0.012174679	-885.49023	0.85542256	0.015453211	0.2125	8.0	94.14891982078552
23	-87.84913	168.17839	0.7844756	-513.8137	197.25	-96.35772	0.014191579	-96.04379	-96.360565	96000	-4.7385694e-08	18310.758	-0.013588706	-822.80664	0.8539562	0.015008223	0.2045	10.0	98.33853697776794
24	-72.50264	149.14948	42.910492	-453.9491	200.0	-101.73207	0.015101243	-101.36609	-101.734406	100000	1.8179417e-08	16774.21	-0.015362471	-599.4365	0.8516395	0.015851002	0.244	10.0	102.78088998794556
25	-51.671642	120.90196	30.806196	-511.31305	120.78571	-106.355064	0.023194417	-105.7947	-106.35818	104000	1.0311603e-08	17923.2	-0.055251025	-415.0664	0.84999114	0.015066161	0.229	76.0	107.17374229431152
26	-61.15427	107.05816	6.9268365	-435.77487	135.65517	-110.23026	0.106310375	-107.491	-110.24253	108000	1.4305115e-09	10838.722	-0.015275154	-523.5537	0.8368141	0.01649523	0.24325	9.0	111.4720606803894
27	-33.311172	63.70389	28.071241	-335.6365	103.62069	-103.043175	23.504454	104.01601	-111.78696	112000	-2.002716e-08	10543.84	-0.03892865	-2963.6729	0.8369264	0.01525662	0.17875	36.0	115.90101051330566
