Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-39.816704	80.38464	26.351086	-347.65277	-184.47064	229.65466	215.95241	-594.82526	119.78788	908.8	3999	6.469915	5.2734747	35.464848	-11.158118	6.469744	5.2736864	33.72098	-10.888888	-3.4536304	2.297641	22.600658	-14.269735	-7.845323	0.3835013	0.3815988	34.159663677215576
2	-54.085293	90.50302	14.2762575	-362.9439	-1086.568	818.3986	-81.69446	-2038.7045	147.84	627.3	7999	41.170456	23.257807	154.40376	-14.4440775	41.170605	23.259169	161.84607	-17.471006	2.7534907	5.064056	37.997284	-14.921083	-45.724304	3.6988008	3.6726372	72.36096358299255
3	-229.48724	367.61334	13.411644	-1323.6892	-295.48056	415.5738	-26.695808	-1252.5342	272.66666	270.9	11999	179.86914	56.295	344.69778	-48.298157	179.87158	56.297417	349.3174	-61.414764	9.433568	6.642655	67.70463	-12.854206	-189.60558	31.665468	31.198565	107.3880341053009
4	-107.76465	227.0208	16.728607	-1093.5005	-111.261375	165.03798	27.841976	-412.65417	133.6207	394.0	15999	260.33896	29.50423	360.89484	-85.63783	260.3399	29.5013	357.86975	-129.08038	3.7430854	4.817613	65.672714	-13.137087	-263.36465	42.62749	42.45086	144.82149505615234
5	-140.68164	226.94156	12.878456	-678.41516	-103.76402	102.653114	28.66923	-314.31485	238.41176	533.4	19999	265.61307	28.124023	348.64798	-145.94154	265.61307	28.076084	345.28915	-128.6336	2.5228858	4.139776	37.8404	-15.533196	-267.70413	37.083454	37.884655	184.1358253955841
6	-158.85341	188.27455	5.7721195	-451.91754	52.22181	83.75414	266.18054	-18.077446	376.8	353.3	23999	258.1069	27.201307	322.3752	-144.69568	258.1046	27.174273	328.2021	-226.01161	1.4420666	3.7818098	56.233288	-15.406891	-259.54755	29.748556	30.542145	219.7085337638855
7	-118.742714	159.68854	26.213644	-424.7619	36.572662	33.36179	107.06978	-9.848831	335.25	503.2	27999	246.00264	25.394705	307.72287	-153.42383	246.00076	25.400244	309.9564	-164.71507	0.4081896	3.513167	66.02529	-15.1146145	-247.02747	21.88834	22.524319	256.625146150589
8	-89.3811	120.31437	23.62424	-302.75446	225.92876	255.21486	872.6829	29.652784	399.5	416.0	31999	232.2388	23.586445	294.05914	-135.52835	232.23663	23.628235	292.4917	-164.66035	-0.42090094	3.3579721	64.378784	-16.909409	-233.07344	19.016747	18.401247	294.4685025215149
9	-27.128454	112.551765	147.35	-240.0355	620.2379	158.27524	872.7524	215.17554	367.27274	933.1	35999	219.6494	21.681248	280.82495	-126.906456	219.64989	21.708857	276.41168	-158.70216	-1.1053433	3.1383982	64.25102	-16.035704	-220.39093	15.3538	14.812761	340.07014989852905
10	29.287283	46.074963	147.92862	-90.63393	472.3187	15.948058	493.71204	444.5985	245.0	1000.0	39999	208.19691	20.692122	267.18027	-171.17801	208.1956	20.719194	262.58997	-144.36311	-1.4835414	2.9995186	76.1391	-14.311548	-208.89827	16.284721	15.7516575	382.62473464012146
