Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-335.01898	84.297226	-226.56755	-452.83707	-794.56274	3.3365283	-788.8523	-801.84125	1000.0	1000.0	3999	2.8580368	3.0745785	22.133232	-8.92827	-3.6735404	0.35876948	17.686352968215942
2	-314.1459	46.581066	-268.1669	-377.17245	-386.6633	32.04835	-350.3341	-444.0461	1000.0	1000.0	7999	37.67818	22.78714	106.23579	-9.477035	-41.964	2.8568647	44.72080039978027
3	-282.713	132.26631	-157.77438	-472.90567	-476.2256	88.28256	-292.99	-572.63995	1000.0	1000.0	11999	146.1636	36.145042	244.66219	60.48128	-152.67905	11.629835	72.86157131195068
4	-502.80502	259.52097	-234.94559	-896.35657	-463.64526	193.84424	3.9733052	-638.3392	1000.0	1000.0	15999	235.7837	28.076193	391.9044	157.9154	-239.56656	16.869442	97.80544757843018
5	-39.534904	392.53076	508.54333	-534.6145	-115.49021	388.73773	553.0966	-561.8077	1000.0	1000.0	19999	283.0754	27.222971	425.57782	202.24129	-285.30063	14.371375	120.35333561897278
6	-152.59395	401.2989	178.60709	-838.1913	-679.67395	230.33147	-89.51571	-898.25323	1000.0	1000.0	23999	308.16568	19.63047	416.37137	252.28473	-309.59937	11.054479	143.46364879608154
7	295.17548	176.34877	538.07666	43.25587	124.64537	823.1887	1625.7886	-783.9874	1000.0	1000.0	27999	325.69293	22.149708	447.46213	275.1615	-326.9735	9.594397	165.59923219680786
8	118.77641	599.74695	902.81323	-770.9434	-84.81337	458.50836	1153.3461	-483.88324	1000.0	1000.0	31999	345.4748	30.552929	439.60294	282.47025	-346.86533	10.169401	188.16262316703796
9	1239.2812	543.35474	1719.6276	363.1452	461.0459	897.9944	1867.05	-611.7861	1000.0	1000.0	35999	367.544	42.317406	463.19516	283.41766	-369.06165	10.876474	211.74575233459473
10	1064.9285	380.97284	1561.084	553.8823	1160.256	407.08765	1627.5165	503.17932	1000.0	1000.0	39999	396.5684	55.27682	510.57736	284.02527	-398.20413	13.416764	233.96964979171753
11	936.6946	612.0605	1785.5592	168.61024	816.70056	779.562	2075.3184	-199.3026	1000.0	1000.0	43999	425.73093	69.016884	548.4179	292.517	-427.34042	16.56471	256.69549345970154
12	1605.405	448.79727	2026.5594	935.02734	1462.8451	786.24786	2487.8625	-479.6869	1000.0	1000.0	47999	459.48203	81.2361	609.1407	295.8693	-461.33176	20.273998	278.0823714733124
13	1856.4128	197.2754	2087.7031	1625.489	2015.8981	314.5809	2475.9866	1374.6295	1000.0	1000.0	51999	500.7567	86.55639	645.12775	317.36612	-502.75528	22.573812	303.73137760162354
14	2267.8755	99.401344	2366.1714	2119.9736	1841.4307	666.8352	2543.1086	408.93915	1000.0	1000.0	55999	547.72974	88.680115	689.42035	341.94775	-549.9244	26.622238	330.0683047771454
15	1305.7773	1126.4149	2410.2979	-282.70648	1597.8347	556.30096	2254.8123	424.583	1000.0	1000.0	59999	597.6183	85.24994	739.9842	369.8824	-599.92163	26.555212	352.7416527271271
16	2423.6943	207.59244	2617.4795	2080.3813	2024.377	461.99442	2626.1675	1193.7584	1000.0	1000.0	63999	651.1018	79.189545	794.42163	440.39542	-653.4864	25.166878	375.45257544517517
17	2032.5684	664.9072	2514.1611	890.7553	2321.7292	613.035	2948.2222	765.0066	1000.0	1000.0	67999	705.68945	75.388695	853.04346	476.48267	-708.2162	25.89279	400.97716188430786
18	1971.6958	1354.7046	2970.9	-362.98593	2955.1948	175.45145	3193.0615	2653.303	1000.0	1000.0	71999	761.5468	71.19542	902.4925	503.0242	-764.114	25.928307	425.1015775203705
19	2764.9216	84.7594	2907.6443	2690.2974	2583.9402	929.2805	3223.9548	-142.45276	1000.0	1000.0	75999	819.6716	69.647896	961.36237	520.9043	-822.18005	26.310322	448.916122674942
20	1653.6902	1303.8174	2434.1548	-603.9865	2906.8647	198.80168	3367.065	2615.5366	1000.0	1000.0	79999	874.0867	72.04048	1017.00085	573.62036	-876.4154	26.595568	472.97149205207825
21	3008.3271	142.9944	3225.8933	2869.0322	3107.3794	146.03464	3300.2031	2775.6724	1000.0	1000.0	83999	927.1233	77.59228	1078.6442	590.1606	-929.4019	27.857117	496.6412444114685
22	3179.8496	112.50976	3272.478	2987.3325	3081.9263	516.2527	3545.6538	1595.6543	1000.0	1000.0	87999	982.1326	80.87624	1142.0405	647.64575	-984.43915	28.433989	518.3556895256042
23	3292.301	165.16917	3415.1213	3008.5713	3199.7378	203.06908	3530.7017	2865.2327	1000.0	1000.0	91999	1040.6464	81.453674	1202.646	706.20306	-1043.1267	29.642334	539.3278708457947
24	3228.4495	102.78819	3398.2463	3128.6538	3336.2012	153.37708	3519.8174	3026.601	1000.0	1000.0	95999	1102.086	79.602745	1260.9619	753.4778	-1104.6458	30.271654	560.4788193702698
25	3434.6182	169.54996	3545.8713	3142.1438	3431.0312	174.9044	3691.9802	3153.9075	1000.0	1000.0	99999	1163.6447	77.64078	1315.9066	840.755	-1166.1443	30.28904	581.4578995704651
26	3288.0886	191.98473	3465.1907	2974.7354	3529.373	276.80188	3771.648	2742.094	1000.0	1000.0	103999	1224.8591	77.23753	1377.565	938.6128	-1227.3762	31.021065	602.4932653903961
27	3532.4087	63.42904	3641.5525	3489.8738	3618.899	198.68262	3955.726	3320.0852	1000.0	1000.0	107999	1286.3899	76.48061	1438.7213	1009.4968	-1288.8988	31.1693	626.229478597641
28	3627.099	146.97302	3850.5186	3450.6343	3433.858	457.89984	3924.8408	2287.2986	1000.0	1000.0	111999	1348.098	75.481636	1498.7252	1094.5366	-1350.5414	31.981468	648.9567670822144
29	3579.0273	99.95904	3726.3735	3444.8342	3592.0776	831.58765	4123.17	1165.1533	1000.0	1000.0	115999	1408.1809	76.8538	1552.0125	1139.2286	-1410.6361	32.44514	671.3305895328522
30	3515.256	248.78392	3699.6377	3090.992	3569.7637	267.1864	3907.7698	3064.418	1000.0	1000.0	119999	1469.3817	75.50712	1609.0244	1184.4841	-1471.7872	32.866383	695.936007976532
31	3761.6038	154.85661	4016.5334	3598.8098	3713.3345	176.3087	4007.8123	3430.28	1000.0	1000.0	123999	1528.1719	77.90596	1673.0365	1209.8762	-1530.4984	33.326424	719.4148406982422
32	3758.974	209.29758	4051.5422	3509.5212	3717.4702	208.6946	4023.8733	3293.6873	1000.0	1000.0	127999	1587.6282	79.571556	1734.4553	1217.4321	-1589.9492	34.493935	742.0853571891785
33	3680.0496	239.5566	3942.1443	3291.5176	4015.5051	233.59438	4298.6006	3499.947	1000.0	1000.0	131999	1645.7437	81.175285	1795.6329	1255.9026	-1648.099	34.241356	765.6625995635986
34	3932.5496	118.85426	4106.1963	3797.403	4044.9055	187.18675	4301.295	3728.6301	1000.0	1000.0	135999	1704.8981	81.83561	1857.8745	1313.4628	-1707.2584	36.256508	788.4422779083252
