Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-294.16983	58.1394	-234.52916	-369.9292	1000.0	-0.0019544286	0.28670555	0.7551406	-0.78355557	4000	1.4472008e-07	16443.404	-0.04372621	-1757.1074	0.91894394	0.015338745	0.19525	41.0	2.4701955318450928
1	-259.04962	81.41029	-120.99362	-330.51035	1000.0	-8.051011	1.9513545	1.2143129	-9.839229	8000	5.8054923e-08	13503.095	-0.03569886	-1724.9346	0.91270006	0.01500634	0.15175	34.0	5.740861177444458
2	-261.21454	68.10889	-153.98201	-341.0705	1000.0	-16.710854	0.44862193	-10.801776	-16.997929	12000	8.165836e-09	13445.252	-0.047318343	-1240.4736	0.9063614	0.015038275	0.216	47.0	8.240655183792114
3	-265.2514	47.118008	-208.76419	-332.28088	1000.0	-23.134766	0.119130455	-21.854654	-23.240068	16000	2.1487475e-08	10640.016	-0.048856877	-881.06934	0.8991996	0.011918716	0.21675	79.0	10.775480270385742
4	-324.03168	60.927296	-255.55058	-419.77652	1000.0	-28.47187	0.05926548	-27.767387	-28.525414	20000	-7.4148176e-08	15271.398	-0.046884734	-1277.6924	0.89490545	0.015063233	0.21675	50.0	12.97172737121582
5	-228.95427	59.44151	-129.06258	-284.74014	1000.0	-34.661797	0.035221364	-34.24819	-34.682404	24000	-9.6201894e-08	7836.282	-0.042743552	-665.4287	0.88472015	0.015030326	0.209	40.0	15.029508590698242
6	-189.22342	54.982544	-123.34124	-254.93423	1000.0	-39.24669	0.028253717	-38.880283	-39.262238	28000	-1.34706495e-08	5972.243	-0.011527701	-445.34766	0.87780255	0.015507267	0.238	7.0	16.949960947036743
7	-275.01315	27.090681	-240.73373	-311.73682	1000.0	-43.03421	0.021193616	-42.864044	-43.050926	32000	6.639957e-08	9976.453	-0.011653319	-873.93164	0.87736136	0.015020603	0.23075	7.0	18.72331953048706
8	-240.66406	75.52913	-159.96466	-321.76877	1000.0	-48.241806	0.018748613	-48.07114	-48.25818	36000	2.592802e-08	7077.307	-0.04772246	-520.3003	0.87564063	0.01500434	0.2295	51.0	20.969701051712036
9	-169.33333	46.18704	-95.73192	-211.28746	1000.0	-52.438393	0.012870692	-52.221783	-52.44661	40000	3.409386e-08	3249.5593	-0.058982044	-257.51978	0.87069875	0.015094996	0.252	75.0	23.41218113899231
10	-201.53665	47.31557	-126.766884	-254.37292	1000.0	-55.466442	0.011419481	-55.34449	-55.473614	44000	-1.9788741e-08	5497.7886	-0.046979338	-472.49268	0.86175185	0.015063734	0.233	37.0	25.593258380889893
11	-142.77238	20.757572	-110.58624	-164.10738	1000.0	-59.4884	0.017243855	-58.915497	-59.49682	48000	-4.130602e-08	1896.776	-0.012837173	-160.1405	0.85591716	0.017134033	0.20725	6.0	27.660071849822998
12	-131.57437	25.5224	-93.8122	-159.79527	1000.0	-62.017365	0.02129245	-61.52967	-62.0277	52000	-2.1219254e-08	1554.5383	-0.041962456	-115.66931	0.8547974	0.015489083	0.198	33.0	30.297878742218018
13	-181.23544	67.796524	-79.534874	-269.76828	1000.0	-64.1578	0.008378941	-64.05964	-64.16196	56000	3.027916e-08	4083.814	-0.01125471	-384.69165	0.84925467	0.015254665	0.207	6.0	32.25848412513733
14	-160.08047	21.159578	-142.38559	-195.86304	1000.0	-67.99437	0.010071846	-67.84644	-68.00072	60000	1.6033649e-08	1925.648	-0.050610937	-201.53284	0.8483174	0.015037868	0.23275	50.0	34.874146461486816
15	-128.05927	54.676212	-82.97718	-221.2859	1000.0	-70.96123	0.00801989	-70.87108	-70.966034	64000	-1.8000602e-08	1009.77454	-0.011004104	-73.605225	0.8388278	0.016399441	0.1885	6.0	36.98025131225586
16	-182.47398	36.826847	-124.3649	-215.6761	1000.0	-72.81446	0.008992568	-72.620964	-72.820015	68000	1.1324882e-09	2406.928	-0.009615484	-243.59155	0.8380988	0.015385052	0.2465	6.0	38.89748692512512
17	-130.6753	59.019638	-34.65347	-195.28531	1000.0	-76.053825	0.014410946	-75.630325	-76.059944	72000	-4.157424e-08	1845.9323	-0.009879557	-119.66785	0.8373908	0.016999923	0.20375	6.0	41.35468816757202
18	-114.20097	32.66351	-79.472725	-147.25832	1000.0	-78.47884	0.06253447	-76.906395	-78.49236	76000	-2.3335218e-08	1036.7817	-0.059467856	-81.71576	0.8369479	0.015026753	0.271	73.0	44.12012267112732
19	-103.68675	46.18115	-31.831882	-157.59184	1000.0	-80.51003	0.0067096404	-80.413925	-80.513756	80000	-1.79708e-08	1234.8625	-0.05744211	-73.13989	0.8326678	0.015256008	0.25825	56.0	46.431676149368286
20	-174.57668	57.33752	-82.62229	-236.16634	1000.0	-82.455765	0.006162891	-82.35129	-82.458275	84000	1.859665e-08	3166.907	-0.030768957	-365.07788	0.83058774	0.015452334	0.167	17.0	48.4831805229187
21	-192.35504	57.472305	-98.74069	-245.41905	1000.0	-86.713776	0.008541296	-86.56822	-86.71698	88000	5.90086e-09	2779.126	-0.0116230585	-268.3994	0.8271727	0.015215967	0.19375	6.0	50.467824935913086
22	-114.87157	60.17453	-13.285747	-161.12085	1000.0	-90.55163	0.00779146	-90.45192	-90.55717	92000	-8.642673e-09	1403.8352	-0.011403076	-23.893677	0.82567847	0.01568193	0.2445	7.0	52.41066336631775
23	-147.99411	49.142624	-68.98874	-200.74016	1000.0	-91.85342	0.031583924	-91.14594	-91.8621	96000	-4.0233137e-09	1989.2542	-0.035951484	-195.95068	0.8243227	0.01504546	0.18325	23.0	54.64115524291992
24	-172.32501	39.041576	-128.48404	-231.37143	1000.0	-95.09648	0.012599504	-94.63078	-95.09879	100000	1.7642975e-08	2270.9106	-0.04623049	-335.50647	0.82039106	0.015011325	0.215	37.0	56.90823173522949
25	-92.39297	43.162388	-60.617085	-166.63701	1000.0	-99.48666	0.006095249	-99.39029	-99.489365	104000	4.529953e-09	963.4826	-0.010369727	-12.060852	0.8186537	0.016175363	0.18675	6.0	58.92737603187561
26	-140.19858	54.791885	-63.73979	-207.30898	1000.0	-100.2552	2.6562784	14.454565	-100.411285	108000	4.9114227e-08	1762.1001	-0.012553628	-162.5028	0.8181108	0.01621238	0.1915	7.0	60.935346603393555
27	-122.98993	33.884193	-87.645	-157.3293	1000.0	-103.27089	2.4109597	36.545204	-103.372116	112000	1.001358e-08	1103.3633	-0.011024447	-39.978638	0.8178103	0.01540674	0.22125	7.0	63.00753569602966
28	-147.73686	14.504791	-134.85254	-172.36562	1000.0	-104.63933	1.94031	-23.755104	-104.7827	116000	-2.2411346e-08	1018.83325	-0.009505644	-150.4372	0.8170865	0.018278783	0.26175	6.0	65.03358387947083
29	-163.92174	53.306293	-74.660614	-210.9373	1000.0	-107.772835	0.010037869	-107.52935	-107.77526	120000	-1.3828277e-08	1999.312	-0.031786133	-175.72339	0.8169948	0.015260142	0.15725	19.0	67.02425050735474
30	-144.41249	69.82496	-48.910915	-241.16437	1000.0	-111.244026	0.008764554	-111.09984	-111.24673	124000	4.053116e-09	1798.5515	-0.0101216985	-117.41052	0.8154116	0.01626025	0.21025	6.0	68.94506525993347
31	-126.94361	58.518105	-79.82066	-225.35324	1000.0	-114.16499	0.021106722	-113.34308	-114.1695	128000	-3.4570693e-09	1056.78	-0.032259833	-33.37213	0.81467235	0.015602791	0.1565	18.0	70.96807146072388
32	-100.61809	79.9875	2.4302456	-210.46362	1000.0	-115.6243	1.9422386	-44.60718	-115.7693	132000	-1.2874604e-08	1654.03	-0.011924164	-9.769287	0.81115764	0.018383602	0.22825	6.0	72.93741655349731
33	-108.141495	23.093039	-69.738594	-130.37868	1000.0	-115.380325	5.4628277	79.753334	-115.81143	136000	6.6757204e-09	378.83835	-0.039094906	-24.701965	0.8097264	0.015176279	0.19225	41.0	75.07740235328674
34	-84.50137	106.2924	12.199815	-248.49934	1000.0	-115.422264	3.4036338	-28.239033	-115.774086	140000	2.4795533e-08	2751.981	-0.03840528	-186.12769	0.80988216	0.015227789	0.1885	26.0	77.13498997688293
