Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	20.038235	8.105352	28.84443	6.80499	1000.0	-0.047890607	0.20476983	0.47764966	-0.50671446	4000	-1.01923945e-08	132.25406	-0.010003926	-64.868355	0.918941	0.016089467	0.22025	6.0	2.231189012527466
1	15.571248	12.9703245	30.438946	-5.0424886	1000.0	2.4078517	2.1765563	9.038226	-3.9172697	8000	1.3768673e-08	55.373833	-0.009150813	-10.1103325	0.9188518	0.016273055	0.21225	5.0	4.138864755630493
2	17.720442	0.79506797	18.994572	16.889124	1000.0	2.4338722	1.4029695	10.602129	0.99521005	12000	-5.334616e-09	9.550828	-0.0088344375	-3.9796228	0.91913766	0.0014199262	0.0425	79.0	6.326835632324219
3	19.639671	1.1664304	20.910131	17.847486	1000.0	1.6622269	2.3190439	12.635976	-0.98293257	16000	-1.013279e-08	4.040128	-0.0065314793	-2.4705715	0.90056455	0.0020669338	0.03875	79.0	8.441329717636108
4	20.260986	8.374222	32.477703	9.348206	1000.0	-0.095390566	3.3568757	13.625141	-5.885349	20000	1.013279e-08	5.271741	-0.007680642	-1.4301789	0.896914	0.007985951	0.066	79.0	10.540410280227661
5	22.298628	1.7076311	24.5479	20.399942	1000.0	-0.3287116	2.9536633	14.124515	-3.2705648	24000	2.5212765e-08	3.1950781	-0.007510586	-0.8728728	0.8961071	0.0041726385	0.06075	79.0	12.626594543457031
6	23.408789	5.266701	29.867783	15.613537	1000.0	0.5176688	3.5363235	15.436288	-4.354431	28000	6.6757204e-09	2.4144382	-0.002350516	-0.33514214	0.87629753	0.01659186	0.25325	5.0	14.351051330566406
7	23.41822	4.5066094	28.737041	16.28437	1000.0	1.4764085	3.3214545	15.99608	-2.731905	32000	1.0848045e-08	3.4508917	-0.00810278	-0.66298246	0.87655866	0.004422003	0.07225	79.0	16.438755750656128
8	26.512283	2.870827	29.470276	22.189608	1000.0	0.82774985	3.6740704	17.023067	-3.6999686	36000	-6.6757204e-09	3.2871163	-0.0035338658	-1.4098928	0.87956786	0.016408611	0.22675	6.0	18.168313026428223
9	18.84932	4.3187494	22.072515	11.4140835	1000.0	3.7437441	3.6722302	18.642859	-1.946514	40000	-8.34465e-09	4.141169	-0.01040106	-2.580402	0.8797962	0.008477317	0.07075	79.0	20.88557004928589
10	28.637291	3.2356603	34.1657	26.070591	1000.0	1.5313052	4.001848	18.978031	-5.6517797	44000	-2.503395e-09	6.635623	-0.009506434	-2.7243295	0.87024415	0.00623804	0.06675	79.0	23.193279504776
11	37.147728	8.696433	44.82593	22.49479	1000.0	3.119046	4.815137	20.139416	-4.2307644	48000	9.298325e-09	29.122368	-0.013072161	-23.113333	0.87027514	0.0035084144	0.06625	79.0	25.304132223129272
12	41.066612	6.8438334	51.611683	32.452263	1000.0	5.6459513	6.555767	23.247814	-5.4790306	52000	-2.9325486e-08	16.878109	-0.01270318	-7.2372856	0.8520664	0.0046716593	0.09925	79.0	27.386945486068726
13	34.986294	10.431976	43.046635	17.402508	1000.0	8.246479	5.9998975	26.571264	-0.496737	56000	2.0503998e-08	4.712723	-0.011995443	-1.8029222	0.8355566	0.0074440064	0.0875	79.0	29.550229787826538
14	48.34372	1.9672807	50.18386	45.18418	1000.0	7.13263	6.688669	28.010847	-4.393913	60000	-2.193451e-08	17.388977	-0.0085422555	-12.395597	0.8323949	0.0056293686	0.05675	79.0	31.89116358757019
15	60.493355	4.1283264	63.55394	53.387863	1000.0	6.8712697	9.425269	32.17345	-4.091467	64000	-6.437302e-09	47.721523	-0.008924985	-36.948948	0.82314235	0.003542144	0.059	79.0	34.22812342643738
16	54.5213	4.6496525	59.73651	47.00182	1000.0	13.338394	11.1142235	37.519806	-9.58733	68000	-4.172325e-09	7.8661575	-0.01151947	-2.300241	0.79815125	0.0031356618	0.088	79.0	36.55922079086304
17	58.016205	3.5709896	63.36101	53.612022	1000.0	16.951517	8.750108	39.73651	5.487013	72000	1.5974045e-08	9.480727	-0.010737323	-4.644448	0.7905024	0.0071611367	0.08425	79.0	38.88809370994568
18	70.58151	7.6634974	78.62811	58.227856	1000.0	15.204125	11.014965	41.06236	1.9768815	76000	1.0490417e-08	42.085186	-0.0082943775	-32.102913	0.781972	0.0059311735	0.06125	79.0	41.1990282535553
19	78.487335	6.173208	88.67897	73.14689	1000.0	24.06129	13.678295	47.00483	-1.3823544	80000	-7.1525574e-10	37.32282	-0.008855776	-22.261719	0.78755146	0.0069731474	0.064	79.0	43.52119421958923
20	85.26534	8.410514	96.87235	76.11307	1000.0	30.051586	12.128294	52.763596	4.9325147	84000	1.1563301e-08	40.20167	-0.0041717603	-26.35121	0.7993777	0.017811004	0.17625	3.0	45.39192748069763
21	75.94942	6.8213506	85.71234	66.80667	1000.0	42.865	9.033557	57.61293	24.986425	88000	-5.2452087e-09	12.1538925	-0.011009722	-5.5355186	0.7989668	0.00577788	0.0965	79.0	47.69760727882385
22	79.88169	13.817225	96.72403	62.355618	1000.0	41.058266	12.197972	59.11756	7.1569414	92000	2.1457671e-09	37.991173	-0.011403429	-25.03674	0.7857558	0.0069594057	0.0825	79.0	50.2178213596344
23	90.986664	17.941063	110.06638	68.70728	1000.0	44.250057	12.794541	60.685867	5.4526596	96000	2.4557114e-08	60.33924	-0.011890291	-31.396364	0.78953755	0.0039432524	0.07825	79.0	52.61875367164612
24	104.93843	9.668342	114.57345	88.91409	1000.0	45.629032	13.350981	66.06884	11.942715	100000	1.001358e-08	57.45476	-0.0034491632	-41.342567	0.7782745	0.016711058	0.2125	4.0	54.46602416038513
